"Campus
Number",Campus,District,"ESC
Region",Region,"SBOE
District",# of Consecutive Years Campus is Academically Unacceptable,Campus 2020 Rating,Campus 2019 Rating,Campus 2018 Rating,Campus 2017 Rating,Campus 2016 Rating,Campus 2015 Rating,Campus 2014 Rating,Campus 2013 Rating,Campus 2012 Rating,Campus 2011 Rating
024901001,FALFURRIAS H S,BROOKS COUNTY ISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Unacceptable
024901041,FALFURRIAS J H,BROOKS COUNTY ISD,01,REGION 01: EDINBURG,3,1,Not Rated: Declared State of Disaster,F,Met Standard,Met Standard,Met Standard,Improvement Required,Met Standard,Met Standard,n/a,Academically Unacceptable
024901101,FALFURRIAS EL,BROOKS COUNTY ISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
024901103,LASATER EL,BROOKS COUNTY ISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,C,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
024901105,FALFURRIAS INNOVATION ACADEMY,BROOKS COUNTY ISD,01,REGION 01: EDINBURG,3,0,Not Rated: Declared State of Disaster,,,,,,,,n/a,
031901001,HANNA EARLY COLLEGE H S,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
031901002,PORTER EARLY COLLEGE H S,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Improvement Required,n/a,Academically Acceptable
031901003,PACE EARLY COLLEGE H S,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
031901004,RIVERA EARLY COLLEGE H S,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
031901007,LOPEZ EARLY COLLEGE H S,BROWNSVILLE ISD,01,REGION 01: EDINBURG,2,0,Not Rated: Declared State of Disaster,B,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
