area,count_area,min_price,max_price,avg_price,std_price,area_abbr,avg_age,std_age
Heights/Greater Heights,241,249999,2800000,728171,429837,H/GH,1983,42
Northwest Houston,159,115000,1200000,311021,153018,NWH,1996,32
East End Revitalized,137,149999,1200000,369657,129834,EER,1978,40
Northside,124,105000,810000,300331,134628,NHSD,1965,38
Rice Military/Washington Corridor,120,325000,1425000,604010,218994,RM/WC,2006,22
Brays Oaks,119,187500,579000,328332,88203,BRAO,1963,8
Montrose,109,389000,3399000,862685,467510,MONT,1987,41
Bellaire Area,107,329500,1999999,1034102,433315,BELA,1991,26
Galleria,103,289060,2999000,879603,480808,GALA,1999,21
Energy Corridor,98,239000,2195000,494356,295702,EC,1987,16
University Area,97,75000,875000,301049,144165,UA,1970,35
Meyerland Area,92,259900,1299000,480400,185344,MEYA,1967,16
Medical Center South,88,63900,350000,192047,61374,MDCS,1979,32
Rice/Museum District,73,349900,10900000,1253854,1335972,R/MD,1991,33
Denver Harbor,66,98450,489000,245223,98257,DNHA,1980,36
Oak Forest East Area,65,258000,1325000,679853,303709,OFEA,1990,32
River Oaks Area,65,789000,7995000,3259321,1659739,ROA,1990,32
Willow Meadows Area,58,170000,1045000,421950,182341,WMA,1966,22
Northeast Houston,57,95000,380000,190344,51327,NEH,1986,31
Tanglewood Area,56,569000,7995000,2453099,1417402,TWA,1993,21
