mls,home_type,status,address,city,zip,county,list_price,area,subdivision,market_area,school_dist_no,school_district,elementary,middle,high_school,bldg_sf,psf,year,bedrooms,full_baths,total_baths,fireplaces,stories,garages,style,dom
7476296,Single-Family,Active,425 Heights Boulevard,Houston,77007,Harris,975000,9,Houston Heights,Heights/Greater Heights,27,Houston,HARVARD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,3476,280.49,1900,6,6,6,0,2,0,Victorian,61
78921037,Single-Family,Active,1617 Common Street,Houston,77009,Harris,299000,9,Allen A C,Northside,27,Houston,SHERMAN ELEMENTARY SCHOOL,MARSHALL MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,2760,108.33,1900,3,1,1,0,1,0,Traditional,170
13863906,Single-Family,Active,1106 Oneil Street,Houston,77019,Harris,700000,16,Runnells,Midtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,HEIGHTS HIGH SCHOOL,1428,490.2,1900,2,1,1,0,1,1,Traditional,254
55450733,Single-Family,Active,115 Alma ,Houston,77009,Harris,649900,9,GROTA HOME,Heights/Greater Heights,27,Houston,TRAVIS ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1655,392.69,1903,2,2,2,0,1,2,Traditional,39
97453555,Single-Family,Active,219 W 11th Street,Houston,77008,Harris,1375000,9,Houston Heights,Heights/Greater Heights,27,Houston,LOVE ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,2618,525.21,1904,3,3,3,1,1,2,"Traditional, Victorian",119
85611075,Single-Family,Active,1218 Wrightwood Street,Houston,77009,Harris,480000,9,Wrightwood,Heights/Greater Heights,27,Houston,TRAVIS ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1889,254.1,1904,3,2,2,1,1,1,Traditional,196
11198041,Single-Family,Active,347 W 27th Street,Houston,77008,Harris,1050000,9,Houston Heights,Heights/Greater Heights,27,Houston,HELMS ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,2152,487.92,1905,3,2,2.1,0,1,0,Victorian,36
22406972,Single-Family,Active,3805 Wilmer Street,Houston,77003,Harris,450000,4,Brady Home,East End Revitalized,27,Houston,LANTRIP ELEMENTARY SCHOOL,NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),3640,123.63,1905,8,3,3,4,2,0,"Mediterranean, Traditional",121
45033142,Single-Family,Active,446 W 23rd Street,Houston,77008,Harris,599000,9,Houston Heights,Heights/Greater Heights,27,Houston,HELMS ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1470,407.48,1905,3,2,2,1,1,0,Traditional,12
57063314,Single-Family,Active,401 James Street,Houston,77009,Harris,379900,9,Allen A C,Northside,27,Houston,KETELSEN ELEMENTARY SCHOOL,MARSHALL MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,1556,244.15,1905,2,2,2,0,1,0,Traditional,4
