mls,home_type,status,address,city,zip,county,list_price,close_price,area,subdivision,market_area,school_dist_no,school_district,elementary,middle,high_school,bldg_sf,psf,psf_sold,year,bedrooms,full_baths,total_baths,fireplaces,stories,garages,style,dom
37703996,Rental,Sold,1206 Missouri Street,Houston,77006,Harris,775,775,16,Hyde Park Annex,Montrose,27,Houston,WILLIAM WHARTON K-8 DUAL LANGUAGE ACADEMY,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),775,1,1,1923,1,1,1,3,2,1,"Traditional, Victorian",44
19540023,Rental,Sold,5907 Wedgefield Street,Houston,77028,Harris,550,550,2,East Houston,Northeast Houston,27,Houston,ELMORE ELEMENTARY SCHOOL,KEY MIDDLE SCHOOL,KASHMERE HIGH SCHOOL,280,1.96,1.96,2019,1,1,1,0,1,0,"Traditional, Victorian",97
78811309,Rental,Sold,2016 Main Street #1609,Houston,77002,Harris,895,895,16,Main Condo 03 Amd,Midtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),283,3.16,3.16,1965,0,1,1,0,1,1,"Traditional, Victorian",111
50782901,Rental,Sold,1405 Harvard Street #4,Houston,77008,Harris,850,850,9,Houston Heights,Heights/Greater Heights,27,Houston,FIELD ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,300,2.83,2.83,1925,1,1,1,0,1,0,Traditional,80
52951244,Rental,Sold,4309 Jack  #6,Houston,77006,Harris,795,795,16,FITZE HOME,Montrose,27,Houston,MACGREGOR ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),300,2.65,2.65,1920,1,1,1,0,1,0,"Traditional, Victorian",41
14834398,Rental,Sold,8430 Holiday Lane #A,Houston,77075,Harris,600,600,3,Houston Skyscraper Shadows 02,Hobby Area,27,Houston,DEANDA ELEMENTARY SCHOOL,THOMAS MIDDLE SCHOOL,STERLING HIGH SCHOOL (HOUSTON),300,2,2,1978,1,1,1,0,1,1,"Traditional, Victorian",43
79908915,Rental,Sold,4614 Park Drive #GA,Houston,77023,Harris,850,850,4,Eastwood,East End Revitalized,27,Houston,CAGE ELEMENTARY SCHOOL,NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),360,2.36,2.36,1936,1,1,1,0,2,0,Traditional,11
58612511,Rental,Sold,1328 Bomar Street #14,Houston,77006,Harris,800,800,16,STRATFORD,Montrose,27,Houston,WILLIAM WHARTON K-8 DUAL LANGUAGE ACADEMY,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),400,2,2,1969,1,1,1,0,1,0,"Traditional, Victorian",67
92435282,Rental,Sold,605 Enid Street #1,Houston,77009,Harris,725,725,9,Brooke Smith Add 02,Heights/Greater Heights,27,Houston,BROWNING ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,400,1.81,1.81,1925,0,1,1,0,1,0,"Traditional, Victorian",18
68467985,Rental,Sold,607 Enid Street #2,Houston,77009,Harris,725,725,9,Brooke Smith Add 02,Heights/Greater Heights,27,Houston,BROWNING ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,400,1.81,1.81,1925,0,1,1,0,1,0,"Traditional, Victorian",25
52490312,Rental,Sold,2316.5 Hazard Street #3,Houston,77019,Harris,895,895,16,Plainview Sec 02,River Oaks Shopping Area,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),400,2.24,2.24,1950,0,1,1,0,1,0,"Traditional, Victorian",19
93180947,Rental,Sold,2316 Hazard 1/2 Street #4,Houston,77019,Harris,995,850,16,Plainview Sec 02,River Oaks Shopping Area,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),400,2.49,2.12,1950,0,1,1,0,1,0,"Traditional, Victorian",14
90165803,Rental,Sold,802 Stanford Street #8,Houston,77019,Harris,795,795,16,Temple Terrace,Montrose,27,Houston,WILLIAM WHARTON K-8 DUAL LANGUAGE ACADEMY,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),400,1.99,1.99,1965,0,1,1,0,1,0,"Traditional, Victorian",27
37023837,Rental,Sold,3710 Dennis St B  #B,Houston,77004,Harris,650,650,4,Leeland Park,University Area,27,Houston,BLACKSHEAR ELEMENTARY SCHOOL (HOUSTON),CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,400,1.62,1.62,1950,1,1,1,0,1,0,"Traditional, Victorian",28
10540913,Rental,Pending,2619 Ruth Street,Houston,77004,Harris,995,,4,Washington Terrace,University Area,27,Houston,LOCKHART ELEMENTARY SCHOOL,CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,400,2.49,,1950,1,1,1,0,1,0,"Traditional, Victorian",86
98504275,Rental,Sold,1408 Kipling Street,Houston,77006,Harris,1000,1000,16,Montrose,Montrose,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),400,2.5,2.5,1920,1,1,1,0,1,1,Traditional,5
12412381,Rental,Sold,1660 Richmond Avenue #2,Houston,77006,Harris,895,895,16,Lancaster Place Ext Sec 02,Montrose,27,Houston,POE ELEMENTARY SCHOOL,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),400,2.24,2.24,1970,1,1,1,0,2,0,Traditional,11
80458717,Rental,Sold,1660 Richmond Ave Avenue #8,Houston,77006,Harris,895,895,16,Lancaster Place Ext Sec 02,Montrose,27,Houston,POE ELEMENTARY SCHOOL,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),400,2.24,2.24,1970,0,1,1,0,2,0,Traditional,20
95633348,Rental,Sold,2722 Wroxton ,Houston,77005,Harris,700,700,17,Abst 61 A C Reynolds,West University/Southside Area,27,Houston,WEST UNIVERSITY ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),400,1.75,1.75,1945,0,1,1,0,2,0,Traditional,133
37547015,Rental,Sold,4309 Jack Street #4,Houston,77006,Harris,900,900,16,Fitze Homestead,Montrose,27,Houston,MACGREGOR ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),400,2.25,2.25,1920,0,1,1,0,2,1,"Traditional, Victorian",32
44696605,Rental,Sold,5213 Sherman Street #B,Houston,77011,Harris,900,900,4,Lenox Grove,East End Revitalized,27,Houston,BURNET ELEMENTARY SCHOOL (HOUSTON),NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),400,2.25,2.25,1940,1,1,1,0,2,1,"Traditional, Victorian",57
96942340,Rental,Sold,601 W Saulnier Street #G1,Houston,77019,Harris,800,800,16,ALDEN PLACE,Montrose,27,Houston,WILLIAM WHARTON K-8 DUAL LANGUAGE ACADEMY,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),405,1.98,1.98,1950,1,1,1,0,1,0,"Traditional, Victorian",8
