mls,school
70161219,BRISCOE EL
17580127,BRISCOE EL
35404452,BRISCOE EL
12503971,BRISCOE EL
32263872,BRISCOE EL
91091193,BRISCOE EL
86688821,BRISCOE EL
31251253,BRISCOE EL
90027378,BURNET EL
44015375,BURNET EL
10366439,BURNET EL
22785384,BURNET EL
91619250,BURNET EL
66726099,BURNET EL
70194931,BURNET EL
90298150,BURNET EL
95336597,BURNET EL
22128284,BURNET EL
20681303,BURNET EL
33892673,BURNET EL
69613690,BURNET EL
63267551,BURNET EL
60196374,BURNET EL
15106979,BURNET EL
49490691,BURNET EL
10402150,BURNET EL
60135546,BURNET EL
26095848,BURNET EL
74731895,CAGE EL
10846313,CAGE EL
35296285,CAGE EL
95100132,CAGE EL
94762165,CAGE EL
78664465,CAGE EL
45638369,CAGE EL
17327175,CAGE EL
72988216,CAGE EL
8302616,CAGE EL
33450007,CAGE EL
47108477,CAGE EL
79922066,CAGE EL
18847614,CAGE EL
59330881,CAGE EL
12265589,CAGE EL
71233956,CARRILLO EL
6123855,CARRILLO EL
54669616,CARRILLO EL
65571088,CARRILLO EL
92503654,CARRILLO EL
25898314,CARRILLO EL
47217815,CARRILLO EL
95907527,CARRILLO EL
94574841,CARRILLO EL
86641262,CARRILLO EL
68534191,CARRILLO EL
63151018,CARRILLO EL
72988171,CARRILLO EL
36482360,CARRILLO EL
91103772,CARRILLO EL
26781787,CARRILLO EL
56296683,CARRILLO EL
75462442,CARRILLO EL
43390603,CARRILLO EL
23892728,CARRILLO EL
80509809,CARRILLO EL
17459147,CARRILLO EL
12737629,CARRILLO EL
12020420,CARRILLO EL
19371028,CARRILLO EL
98389196,DE ZAVALA EL
69811323,FRANKLIN EL
28236292,FRANKLIN EL
22092907,FRANKLIN EL
10204953,FRANKLIN EL
65682201,FRANKLIN EL
8544850,FRANKLIN EL
92214244,FRANKLIN EL
11384759,FRANKLIN EL
42768657,FRANKLIN EL
94871183,GALLEGOS EL
82012322,HENDERSON J EL
83422855,HENDERSON J EL
43930637,HENDERSON J EL
