mls,street_number,street_name,unit,city,zip,county,subdivision,home_type,year_built,bedrooms,full_baths,half_baths,total_baths,room_count,fireplaces,stories,pool_private,garages,style,list_price,market_area,area,dom,cdom,list_date,school_district,elementary,high_school
242718,5407,Chevy Chase Drive,,Houston,77056,Harris,Del Monte Place,Single-Family,1970,3,3,2,3.2,9,1,2,FALSE,2,Traditional,875000,22,Galleria,85,85,11/13/2020,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
296833,4011,Starbright Street,,Houston,77018,Harris,Oak Forest Manor,Single-Family,2020,3,2,1,2.1,10,0,2,FALSE,2,Traditional,378170,9,Oak Forest East Area,337,337,3/6/2020,HOUSTON ISD,OAK FOREST ELEMENTARY,WALTRIP HIGH SCHOOL
468622,1030,Creekmont Drive,,Houston,77091,Harris,Shepherd Park Terrace Sec 01,Single-Family,1971,3,2,0,2,3,0,1,TRUE,2,Traditional,355999,9,Shepherd Park Plaza Area,50,50,12/11/2020,HOUSTON ISD,HIGHLAND HTS ELEMENTARY,WASHINGTON B T HIGH SCHOOL
474952,42,Broad Oaks Drive,,Houston,77056,Harris,Broad Oaks,Single-Family,1964,4,5,0,5,7,1,2,TRUE,0,Traditional,1390000,22,Tanglewood Area,184,184,8/6/2020,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
531033,12322,Honeywood Trail,,Houston,77077,Harris,Ashford Forest Lake,Single-Family,1971,4,4,1,4.1,12,1,2,TRUE,0,Traditional,850000,31,Energy Corridor,105,105,10/24/2020,HOUSTON ISD,SHADOWBRIAR ELEMENTARY,WESTSIDE HIGH SCHOOL
535780,5708,Dolores  Street,E,Houston,77057,Harris,Delores Place Estates,Single-Family,2007,3,3,1,3.1,8,1,3,FALSE,2,"Spanish, Traditional",535000,22,Galleria,32,406,1/5/2021,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
754009,4630,Kermit,,Houston,77009,Harris,Sojourner,Single-Family,2021,6,4,2,4.2,10,0,2,FALSE,0,Traditional,945000,9,Heights/Greater Heights,18,18,1/19/2021,HOUSTON ISD,BROWNING ELEMENTARY,HEIGHTS HIGH SCHOOL
845387,6803,Donlen Street,,Houston,77022,Harris,JS Collins Surv Abs-196,Single-Family,1958,3,2,0,2,6,0,1,FALSE,0,Traditional,325000,9,Northwest Houston,22,22,1/15/2021,HOUSTON ISD,HERRERA ELEMENTARY,HOUSTON MATH SCIENCE AND TECHNOLOG
849724,6230,Rutherglenn Drive,,Houston,77096,Harris,Maplewood South Sec 07 R/P,Single-Family,1967,4,2,0,2,7,1,1,FALSE,2,Traditional,359900,20,Brays Oaks,33,33,1/4/2021,HOUSTON ISD,ELROD ELEMENTARY,WESTBURY HIGH SCHOOL
875166,2609,Cleburne Street,,Houston,77004,Harris,Washington Terrace,Single-Family,1928,3,2,0,2,3,0,2,FALSE,0,Traditional,199999,4,University Area,233,233,6/18/2020,HOUSTON ISD,LOCKHART ELEMENTARY,YATES HIGH SCHOOL
899952,5643,Park Village Drive,,Houston,77048,Harris,Kingdom Come,Single-Family,0,3,2,0,2,3,0,2,FALSE,2,Traditional,220900,3,Medical Center South,101,101,10/28/2020,HOUSTON ISD,FROST ELEMENTARY,STERLING HIGH SCHOOL
919728,1023,Gross Street,,Houston,77019,Harris,River Oaks Shopping,Single-Family,2021,4,3,1,3.1,9,0,3,FALSE,2,"Contemporary/Modern, Traditional",675000,16,River Oaks Shopping Area,17,108,1/20/2021,HOUSTON ISD,WILSON MONTESSORI,LAMAR HIGH SCHOOL
956258,520,Saulnier,,Houston,77019,Harris,Alden Place,Single-Family,2020,4,3,1,3.1,9,1,3,FALSE,2,"Contemporary/Modern, Other Style",819000,16,Montrose,59,237,12/9/2020,HOUSTON ISD,WHARTON K-8 DUAL LANGUAGE ACADEMY,LAMAR HIGH SCHOOL
964027,4105,Montrose Boulevard,,Houston,77006,Harris,Montrose,Single-Family,1994,3,2,1,2.1,7,2,3,FALSE,2,Traditional,719000,16,Montrose,4,4,2/2/2021,HOUSTON ISD,MACGREGOR ELEMENTARY,LAMAR HIGH SCHOOL
1016386,4369,Fiesta Lane,,Houston,77004,Harris,UNIVERSITY OAKS,Single-Family,1948,4,3,1,3.1,11,0,2,FALSE,2,Contemporary/Modern,489000,4,University Area,32,32,1/5/2021,HOUSTON ISD,LOCKHART ELEMENTARY,YATES HIGH SCHOOL
1029097,4701,Braeburn  Drive,B,Bellaire,77401,Harris,Ladin Place,Single-Family,2007,5,4,2,4.2,10,2,2,FALSE,0,Mediterranean,1595000,17,Bellaire Area,3,63,2/3/2021,HOUSTON ISD,CONDIT ELEMENTARY,BELLAIRE HIGH SCHOOL
1036880,4731,Main Street,,Houston,77009,Harris,Sojourner,Single-Family,1930,2,1,0,1,4,0,1,FALSE,0,Other Style,375000,9,Heights/Greater Heights,386,386,1/17/2020,HOUSTON ISD,BROWNING ELEMENTARY,HEIGHTS HIGH SCHOOL
1039842,2725,Kennedy St,,Houston,77003,Harris,East End/Bayou Sec 1,Single-Family,2015,3,3,1,3.1,6,0,4,FALSE,2,Traditional,507780,4,East End Revitalized,16,16,1/21/2021,HOUSTON ISD,BURNET ELEMENTARY,WHEATLEY HIGH SCHOOL
1041641,8009,Ritz Street,,Houston,77028,Harris,Liberty Road Manor Sec 22 U/R,Single-Family,2021,3,2,0,2,9,0,1,FALSE,1,Traditional,190000,2,Northeast Houston,12,12,1/25/2021,HOUSTON ISD,ELMORE ELEMENTARY,KASHMERE HIGH SCHOOL
2068135,10910,Tupper Lake Drive,,Houston,77042,Harris,Lakeside Forest,Single-Family,1970,4,2,1,2.1,9,1,2,FALSE,2,Traditional,429000,31,Memorial West,96,96,10/9/2020,HOUSTON ISD,ASKEW ELEMENTARY,WESTSIDE HIGH SCHOOL
2142528,4010,Meadow Lake,,Houston,77027,Harris,Oak Estates,Single-Family,2018,5,5,2,5.2,12,2,2,FALSE,2,Traditional,3125000,16,River Oaks Area,67,1077,12/1/2020,HOUSTON ISD,RIVER OAKS ELEMENTARY,LAMAR HIGH SCHOOL
2178041,12802,Marciano Street,,Houston,77048,Harris,Maple Village,Single-Family,2020,3,2,1,2.1,6,0,2,FALSE,2,Traditional,219990,3,Medical Center South,22,221,1/15/2021,HOUSTON ISD,FROST ELEMENTARY,STERLING HIGH SCHOOL
2187825,340,Eado Park Circle,,Houston,77020,Harris,Nobility Park,Single-Family,2017,3,3,1,3.1,6,0,3,FALSE,2,Contemporary/Modern,349000,2,Denver Harbor,56,56,12/12/2020,HOUSTON ISD,BRUCE ELEMENTARY,WHEATLEY HIGH SCHOOL
2235093,953,Dunleigh Meadows Lane ,,Houston,77055,Harris,Somerset Green,Single-Family,2020,3,3,1,3.1,8,0,3,FALSE,2,Georgian,745000,9,Timbergrove/Lazybrook,25,264,1/12/2021,HOUSTON ISD,SINCLAIR ELEMENTARY,WALTRIP HIGH SCHOOL
2363954,258,28th Street,,Houston,77008,Harris,Erin Pk/West 28th Street,Single-Family,2017,3,3,1,3.1,7,0,3,FALSE,0,Traditional,385000,9,Heights/Greater Heights,24,24,1/13/2021,HOUSTON ISD,HELMS ELEMENTARY,HEIGHTS HIGH SCHOOL
2373527,1416,Wichman Street,,Houston,77007,Harris,Forest Park Lndg,Single-Family,2019,3,3,1,3.1,5,0,4,FALSE,2,Contemporary/Modern,449900,16,Rice Military/Washington Corridor,33,48,1/4/2021,HOUSTON ISD,CROCKETT ELEMENTARY,HEIGHTS HIGH SCHOOL
2375107,9114,Wayside Drive,,Houston,77028,Harris,Parkhurst Estates Sec 02,Single-Family,1940,3,3,1,3.1,3,0,1,FALSE,0,Traditional,250000,2,Northeast Houston,481,846,10/8/2019,HOUSTON ISD,HILLIARD ELEMENTARY,NORTH FOREST HIGH SCHOOL
