mls,street_number,street_name,city,zip,county,subdivision,home_type,year_built,bedrooms,full_baths,half_baths,total_baths,room_count,fireplaces,stories,pool_private,garages,style,list_price,market_area,area,dom,cdom,list_date,school_district,elementary,high_school
70161219,1747,Forest Hill,Houston,77023,Harris,Forest Hill,Single-Family,1952,3,1,0,1.0,7,0,1,False,0,Traditional,255000,4,East End Revitalized,5,5,2/1/2021,HOUSTON ISD,BRISCOE EL,AUSTIN H S
17580127,1911,Pasadena,Houston,77023,Harris,Forest Hill,Single-Family,1949,2,1,0,1.0,6,1,1,False,0,Traditional,324900,4,East End Revitalized,74,74,11/24/2020,HOUSTON ISD,BRISCOE EL,AUSTIN H S
35404452,1931,Santa Rosa,Houston,77023,Harris,Forest Hill,Single-Family,1949,3,2,0,2.0,6,0,2,False,0,"Contemporary/Modern, Traditional",319000,4,East End Revitalized,53,53,12/11/2020,HOUSTON ISD,BRISCOE EL,AUSTIN H S
12503971,2022,Forest Hill,Houston,77023,Harris,Forest Hill,Single-Family,1938,4,2,0,2.0,7,1,1,False,0,Traditional,399000,4,East End Revitalized,3,3,2/3/2021,HOUSTON ISD,BRISCOE EL,AUSTIN H S
32263872,6707,Avenue I,Houston,77011,Harris,Central Park,Single-Family,2020,3,2,1,2.1,7,0,2,False,2,Traditional,280990,4,University Area,134,251,9/25/2020,HOUSTON ISD,BRISCOE EL,AUSTIN H S
91091193,6814,Sherman,Houston,77011,Harris,Central Park,Single-Family,1935,7,4,1,4.1,12,1,2,False,0,Traditional,380000,4,East End Revitalized,11,11,1/26/2021,HOUSTON ISD,BRISCOE EL,AUSTIN H S
86688821,7335,Santiago,Houston,77023,Harris,Forest Hill,Single-Family,1935,2,1,0,1.0,4,1,1,False,1,Traditional,345000,4,East End Revitalized,97,97,11/1/2020,HOUSTON ISD,BRISCOE EL,AUSTIN H S
31251253,7404,Mckinney,Houston,77011,Harris,East Park,Single-Family,1945,5,3,0,3.0,5,0,2,False,0,Contemporary/Modern,288000,4,East End Revitalized,28,155,1/9/2021,HOUSTON ISD,BRISCOE EL,AUSTIN H S
90027378,114,Everton #A,Houston,77003,Harris,Park At Edo,Single-Family,2021,3,3,1,3.1,11,0,2,False,2,Contemporary/Modern,404900,4,East End Revitalized,64,176,12/4/2020,HOUSTON ISD,BURNET EL,AUSTIN H S
44015375,114,Everton #D,Houston,77003,Harris,Park At Edo,Single-Family,2021,3,3,1,3.1,11,0,2,False,2,Contemporary/Modern,399900,4,East End Revitalized,5,144,2/1/2021,HOUSTON ISD,BURNET EL,AUSTIN H S
10366439,114,Everton #E,Houston,77003,Harris,Park At Edo,Single-Family,2021,3,3,1,3.1,11,0,2,False,2,Contemporary/Modern,399900,4,East End Revitalized,4,143,2/2/2021,HOUSTON ISD,BURNET EL,AUSTIN H S
22785384,211,Norwood,Houston,77011,Harris,Fullerton Place,Single-Family,1935,3,2,1,2.1,4,0,1,False,1,Traditional,424900,4,East End Revitalized,48,48,12/20/2020,HOUSTON ISD,BURNET EL,AUSTIN H S
91619250,212,Edgewood,Houston,77011,Harris,Engel,Single-Family,1927,3,2,0,2.0,3,0,1,False,0,Other Style,369000,4,East End Revitalized,50,50,12/18/2020,HOUSTON ISD,BURNET EL,AUSTIN H S
66726099,214,Hagerman,Houston,77011,Harris,Suburban Park,Single-Family,1940,2,1,0,1.0,2,0,1,False,0,Traditional,215000,4,East End Revitalized,37,426,12/31/2020,HOUSTON ISD,BURNET EL,AUSTIN H S
70194931,214,LATHAM #1,Houston,77011,Harris,FULLERTON PLACE PR#3,Single-Family,2020,4,2,0,2.0,6,0,1,False,1,Other Style,409900,4,East End Revitalized,170,259,8/20/2020,HOUSTON ISD,BURNET EL,AUSTIN H S
90298150,216,Hutcheson,Houston,77003,Harris,MERKELS,Single-Family,1935,3,2,0,2.0,3,0,1,False,0,Traditional,243999,4,East End Revitalized,526,850,8/30/2019,HOUSTON ISD,BURNET EL,AUSTIN H S
95336597,226,Delmar,Houston,77011,Harris,Lenox Grove,Single-Family,1936,3,2,0,2.0,6,0,1,False,0,Traditional,415000,4,East End Revitalized,175,175,8/15/2020,HOUSTON ISD,BURNET EL,AUSTIN H S
22128284,301,Hagerman,Houston,77011,Harris,Suburban Park,Single-Family,1938,5,1,1,1.1,9,0,2,False,0,Traditional,255000,4,East End Revitalized,37,76,12/31/2020,HOUSTON ISD,BURNET EL,AUSTIN H S
20681303,307,Hutcheson,Houston,77003,Harris,Palmer Place,Single-Family,1993,3,1,0,1.0,6,0,1,False,0,Traditional,319900,4,East End Revitalized,53,53,12/15/2020,HOUSTON ISD,BURNET EL,AUSTIN H S
33892673,312,Everton,Houston,77003,Harris,Merkels Sec 01,Single-Family,1935,4,3,0,3.0,4,0,1,False,0,Traditional,500000,4,East End Revitalized,1,1,2/5/2021,HOUSTON ISD,BURNET EL,AUSTIN H S
69613690,313,Super,Houston,77011,Harris,Navigation Add,Single-Family,1940,4,2,1,2.1,11,0,1,False,0,Traditional,334900,4,East End Revitalized,64,64,12/4/2020,HOUSTON ISD,BURNET EL,AUSTIN H S
63267551,409,Stiles,Houston,77011,Harris,Williams,Single-Family,1930,3,1,0,1.0,3,0,1,False,0,Traditional,205000,4,East End Revitalized,30,30,1/7/2021,HOUSTON ISD,BURNET EL,AUSTIN H S
60196374,533,Super,Houston,77011,Harris,Navigation Add,Single-Family,2020,3,3,0,3.0,6,0,2,False,1,"Contemporary/Modern, Other Style, Traditional",424900,4,East End Revitalized,32,79,1/5/2021,HOUSTON ISD,BURNET EL,AUSTIN H S
15106979,622,York,Houston,77003,Harris,SUNBURST,Single-Family,0,3,2,1,2.1,3,0,2,False,2,Contemporary/Modern,435000,4,East End Revitalized,213,487,7/8/2020,HOUSTON ISD,BURNET EL,AUSTIN H S
