campus_number,school,district,yrs_unacceptable,rating,year
101907002,CY-FAIR H S,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907003,JERSEY VILLAGE H S,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907004,CYPRESS CREEK H S,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907005,LANGHAM CREEK H S,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907007,CYPRESS FALLS H S,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907009,CYPRESS SPRINGS H S,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907010,CYPRESS RIDGE H S,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907011,CYPRESS WOODS H S,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907012,CYPRESS RANCH H S,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907013,CYPRESS LAKES H S,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907015,CYPRESS PARK H S,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907016,BRIDGELAND H S,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907037,CYPRESS-FAIRBANKS J J A E P,CYPRESS-FAIRBANKS ISD,0.0,Not Rated,2019
101907101,BANE EL,CYPRESS-FAIRBANKS ISD,0.0,D,2019
101907103,LAMKIN EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907104,POST EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907105,MATZKE EL,CYPRESS-FAIRBANKS ISD,0.0,C,2019
101907106,HOLBROOK EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907107,ADAM EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907108,HANCOCK EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907109,YEAGER EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907110,MILLSAP EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907111,LIEDER EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907112,FRANCONE EL,CYPRESS-FAIRBANKS ISD,0.0,C,2019
101907113,HORNE EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907115,MOORE EL,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907116,LOWERY EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907117,FRAZIER EL,CYPRESS-FAIRBANKS ISD,0.0,C,2019
101907118,WILSON EL,CYPRESS-FAIRBANKS ISD,0.0,C,2019
101907119,OWENS EL,CYPRESS-FAIRBANKS ISD,0.0,C,2019
101907120,EMMOTT EL,CYPRESS-FAIRBANKS ISD,0.0,C,2019
101907121,HOLMSLEY EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907122,JOWELL EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907124,FIEST EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907125,BANG EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907126,HAMILTON EL,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907127,METCALF EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907128,HAIRGROVE EL,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907129,REED EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907130,COPELAND EL,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907131,WILLBERN EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907132,SHERIDAN EL,CYPRESS-FAIRBANKS ISD,0.0,C,2019
101907133,AULT EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907134,KIRK EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907135,FARNEY EL,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907136,GLEASON EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907137,WALKER EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907138,SAMPSON EL,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907139,BIRKES EL,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907140,ROBISON EL,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907141,TIPPS EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907142,DURYEA EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907143,KEITH EL,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907144,LEE EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907145,DANISH EL,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907146,ANDRE EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907147,POSTMA EL,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907148,BLACK EL,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907149,WARNER EL,CYPRESS-FAIRBANKS ISD,0.0,A,2019
101907150,MCFEE EL,CYPRESS-FAIRBANKS ISD,0.0,B,2019
101907151,HEMMENWAY EL,CYPRESS-FAIRBANKS ISD,0.0,C,2019
101907153,SWENKE EL,CYPRESS-FAIRBANKS ISD,0.0,A,2019
