mls,street_number,street_name,unit,city,zip,county,subdivision,home_type,year_built,bedrooms,full_baths,half_baths,total_baths,room_count,fireplaces,stories,pool_private,garages,style,list_price,market_area,area,dom,cdom,list_date,school_district,elementary,high_school,full_address,latitude,longitude,geocode
242718,5407,Chevy Chase Drive,,Houston,77056,Harris,Del Monte Place,Single-Family,1970,3,3,2,3.2,9,1,2,FALSE,2,Traditional,875000,22,Galleria,85,85,11/13/2020,HOUSTON ISD,BRIARGROVE EL,WISDOM H S,"5407 Chevy Chase Drive, Houston, Texas, 77056",29.74515327,-95.46933089,"(29.745153271930764, -95.46933089200235)"
468622,1030,Creekmont Drive,,Houston,77091,Harris,Shepherd Park Terrace Sec 01,Single-Family,1971,3,2,0,2,3,0,1,TRUE,2,Traditional,355999,9,Shepherd Park Plaza Area,50,50,12/11/2020,HOUSTON ISD,HIGHLAND HTS EL,WASHINGTON B T H S,"1030 Creekmont Drive, Houston, Texas, 77091",29.84255407,-95.42270099,"(29.842554067913653, -95.42270099251903)"
531033,12322,Honeywood Trail,,Houston,77077,Harris,Ashford Forest Lake,Single-Family,1971,4,4,1,4.1,12,1,2,TRUE,0,Traditional,850000,31,Energy Corridor,105,105,10/24/2020,HOUSTON ISD,SHADOWBRIAR EL,WESTSIDE H S,"12322 Honeywood Trail, Houston, Texas, 77077",29.75893623,-95.59991515,"(29.758936228182634, -95.59991514697579)"
535780,5708,Dolores  Street,E,Houston,77057,Harris,Delores Place Estates,Single-Family,2007,3,3,1,3.1,8,1,3,FALSE,2,"Spanish, Traditional",535000,22,Galleria,32,406,1/5/2021,HOUSTON ISD,BRIARGROVE EL,WISDOM H S,"5708 Dolores  Street, Houston, Texas, 77057",29.73437636,-95.47879482,"(29.73437636363636, -95.47879481818181)"
754009,4630,Kermit,,Houston,77009,Harris,Sojourner,Single-Family,2021,6,4,2,4.2,10,0,2,FALSE,0,Traditional,945000,9,Heights/Greater Heights,18,18,1/19/2021,HOUSTON ISD,BROWNING EL,HEIGHTS H S,"4630 Kermit, Houston, Texas, 77009",29.79768454,-95.38389983,"(29.797684538188538, -95.38389982622054)"
845387,6803,Donlen Street,,Houston,77022,Harris,JS Collins Surv Abs-196,Single-Family,1958,3,2,0,2,6,0,1,FALSE,0,Traditional,325000,9,Northwest Houston,22,22,1/15/2021,HOUSTON ISD,HERRERA EL,HOUSTON MATH SCIENCE AND TECHNOLOG,"6803 Donlen Street, Houston, Texas, 77022",29.819634,-95.370996,"(29.819634, -95.370996)"
849724,6230,Rutherglenn Drive,,Houston,77096,Harris,Maplewood South Sec 07 R/P,Single-Family,1967,4,2,0,2,7,1,1,FALSE,2,Traditional,359900,20,Brays Oaks,33,33,1/4/2021,HOUSTON ISD,ELROD EL,WESTBURY H S,"6230 Rutherglenn Drive, Houston, Texas, 77096",29.67268788,-95.50067817,"(29.672687880989297, -95.50067816846041)"
875166,2609,Cleburne Street,,Houston,77004,Harris,Washington Terrace,Single-Family,1928,3,2,0,2,3,0,2,FALSE,0,Traditional,199999,4,University Area,233,233,6/18/2020,HOUSTON ISD,LOCKHART EL,YATES H S,"2609 Cleburne Street, Houston, Texas, 77004",29.72774708,-95.36752808,"(29.72774708080808, -95.36752808080809)"
899952,5643,Park Village Drive,,Houston,77048,Harris,Kingdom Come,Single-Family,0,3,2,0,2,3,0,2,FALSE,2,Traditional,220900,3,Medical Center South,101,101,10/28/2020,HOUSTON ISD,FROST EL,STERLING H S,"5643 Park Village Drive, Houston, Texas, 77048",29.629365,-95.33424271,"(29.629365, -95.33424271428571)"
919728,1023,Gross Street,,Houston,77019,Harris,River Oaks Shopping,Single-Family,2021,4,3,1,3.1,9,0,3,FALSE,2,"Contemporary/Modern, Traditional",675000,16,River Oaks Shopping Area,17,108,1/20/2021,HOUSTON ISD,WILSON MONTESSORI,LAMAR H S,"1023 Gross Street, Houston, Texas, 77019",29.75696518,-95.40633853,"(29.75696518367347, -95.40633853061225)"
956258,520,Saulnier,,Houston,77019,Harris,Alden Place,Single-Family,2020,4,3,1,3.1,9,1,3,FALSE,2,"Contemporary/Modern, Other Style",819000,16,Montrose,59,237,12/9/2020,HOUSTON ISD,WHARTON K-8 DUAL LANGUAGE ACADEMY,LAMAR H S,"520 Saulnier, Houston, Texas, 77019",29.75696691,-95.38747808,"(29.756966914572864, -95.38747807537688)"
964027,4105,Montrose Boulevard,,Houston,77006,Harris,Montrose,Single-Family,1994,3,2,1,2.1,7,2,3,FALSE,2,Traditional,719000,16,Montrose,4,4,2/2/2021,HOUSTON ISD,MACGREGOR EL,LAMAR H S,"4105 Montrose Boulevard, Houston, Texas, 77006",29.73602014,-95.39104663,"(29.736020142857143, -95.39104663265306)"
1016386,4369,Fiesta Lane,,Houston,77004,Harris,UNIVERSITY OAKS,Single-Family,1948,4,3,1,3.1,11,0,2,FALSE,2,Contemporary/Modern,489000,4,University Area,32,32,1/5/2021,HOUSTON ISD,LOCKHART EL,YATES H S,"4369 Fiesta Lane, Houston, Texas, 77004",29.71459376,-95.34425451,"(29.71459375510204, -95.34425451020408)"
1029097,4701,Braeburn  Drive,B,Bellaire,77401,Harris,Ladin Place,Single-Family,2007,5,4,2,4.2,10,2,2,FALSE,0,Mediterranean,1595000,17,Bellaire Area,3,63,2/3/2021,HOUSTON ISD,CONDIT EL,BELLAIRE H S,"4701 Braeburn  Drive, Bellaire, Texas, 77401",29.696173,-95.45966,"(29.696173, -95.45966)"
1036880,4731,Main Street,,Houston,77009,Harris,Sojourner,Single-Family,1930,2,1,0,1,4,0,1,FALSE,0,Other Style,375000,9,Heights/Greater Heights,386,386,1/17/2020,HOUSTON ISD,BROWNING EL,HEIGHTS H S,"4731 Main Street, Houston, Texas, 77009",29.763801,-95.3594933,"(29.763801, -95.3594933)"
1039842,2725,Kennedy St,,Houston,77003,Harris,East End/Bayou Sec 1,Single-Family,2015,3,3,1,3.1,6,0,4,FALSE,2,Traditional,507780,4,East End Revitalized,16,16,1/21/2021,HOUSTON ISD,BURNET EL,WHEATLEY H S,"2725 Kennedy St, Houston, Texas, 77003",29.75950657,-95.34046322,"(29.75950657142857, -95.3404632244898)"
1041641,8009,Ritz Street,,Houston,77028,Harris,Liberty Road Manor Sec 22 U/R,Single-Family,2021,3,2,0,2,9,0,1,FALSE,1,Traditional,190000,2,Northeast Houston,12,12,1/25/2021,HOUSTON ISD,ELMORE EL,KASHMERE H S,"8009 Ritz Street, Houston, Texas, 77028",29.82656737,-95.28060102,"(29.826567367346936, -95.28060102040816)"
2068135,10910,Tupper Lake Drive,,Houston,77042,Harris,Lakeside Forest,Single-Family,1970,4,2,1,2.1,9,1,2,FALSE,2,Traditional,429000,31,Memorial West,96,96,10/9/2020,HOUSTON ISD,ASKEW EL,WESTSIDE H S,"10910 Tupper Lake Drive, Houston, Texas, 77042",29.75563372,-95.57011293,"(29.75563372210528, -95.5701129263183)"
2235093,953,Dunleigh Meadows Lane ,,Houston,77055,Harris,Somerset Green,Single-Family,2020,3,3,1,3.1,8,0,3,FALSE,2,Georgian,745000,9,Timbergrove/Lazybrook,25,264,1/12/2021,HOUSTON ISD,SINCLAIR EL,WALTRIP H S,"953 Dunleigh Meadows Lane , Houston, Texas, 77055",29.7870228,-95.4442406,"(29.7870228, -95.4442406)"
2373527,1416,Wichman Street,,Houston,77007,Harris,Forest Park Lndg,Single-Family,2019,3,3,1,3.1,5,0,4,FALSE,2,Contemporary/Modern,449900,16,Rice Military/Washington Corridor,33,48,1/4/2021,HOUSTON ISD,CROCKETT EL,HEIGHTS H S,"1416 Wichman Street, Houston, Texas, 77007",29.77373837,-95.39308483,"(29.773738370153414, -95.3930848321515)"
2375107,9114,Wayside Drive,,Houston,77028,Harris,Parkhurst Estates Sec 02,Single-Family,1940,3,3,1,3.1,3,0,1,FALSE,0,Traditional,250000,2,Northeast Houston,481,846,10/8/2019,HOUSTON ISD,HILLIARD EL,NORTH FOREST H S,"9114 Wayside Drive, Houston, Texas, 77028",29.7658234,-95.2945321,"(29.7658234, -95.2945321)"
2376944,2621,Sunset Boulevard,,West University Place,77005,Harris,Evanston,Single-Family,2020,4,4,1,4.1,8,1,2,FALSE,1,"Contemporary/Modern, Other Style",2298000,17,West University/Southside Area,63,409,12/5/2020,HOUSTON ISD,WEST UNIVERSITY EL,LAMAR H S,"2621 Sunset Boulevard, West University Place, Texas, 77005",29.72302706,-95.41899411,"(29.72302706060606, -95.4189941111111)"
2418496,341,Parkview,,Houston,77009,Harris,Mcdow,Single-Family,2019,5,3,1,3.1,14,0,1,FALSE,3,Traditional,1249000,9,Heights/Greater Heights,131,131,9/21/2020,HOUSTON ISD,TRAVIS EL,HEIGHTS H S,"341 Parkview, Houston, Texas, 77009",29.78388889,-95.37007357,"(29.78388888590604, -95.3700735704698)"
2427259,10222,Piping Rock Lane,,Houston,77042,Harris,Briargrove Park Sec 04,Single-Family,1974,3,2,1,2.1,8,1,2,TRUE,0,Traditional,475000,22,Briargrove Park/Walnutbend,78,78,11/20/2020,HOUSTON ISD,WALNUT BEND EL,WESTSIDE H S,"10222 Piping Rock Lane, Houston, Texas, 77042",29.74082306,-95.55421173,"(29.74082306122449, -95.55421173469388)"
