mls,latitude,longitude,campus_number,school,rating
2677308,29.81154802,-95.3638514,101912003,NORTHSIDE H S,C
2707648,29.78601704,-95.36002765,101912003,NORTHSIDE H S,C
3631477,29.78369653,-95.35601094,101912003,NORTHSIDE H S,C
3798854,29.8016596,-95.37063436,101912003,NORTHSIDE H S,C
5020088,29.8016606,-95.37044536,101912003,NORTHSIDE H S,C
7631346,29.7813671,-95.35037118,101912003,NORTHSIDE H S,C
8818327,29.78640493,-95.36693578,101912003,NORTHSIDE H S,C
9321949,29.776713,-95.363955,101912003,NORTHSIDE H S,C
9627315,29.77599888,-95.35960465,101912003,NORTHSIDE H S,C
9964097,29.80524639,-95.35734884,101912003,NORTHSIDE H S,C
10536297,29.77667318,-95.3547039,101912003,NORTHSIDE H S,C
12069066,29.78601537,-95.36011288,101912003,NORTHSIDE H S,C
12836939,29.7950063,-95.36294873,101912003,NORTHSIDE H S,C
14254926,29.78561217,-95.36016227,101912003,NORTHSIDE H S,C
14729280,29.81313882,-95.36857946,101912003,NORTHSIDE H S,C
17248485,29.81303974,-95.37072069,101912003,NORTHSIDE H S,C
18227187,29.80943667,-95.36985757,101912003,NORTHSIDE H S,C
25356952,29.778186,-95.351445,101912003,NORTHSIDE H S,C
29465616,29.80430243,-95.36201621,101912003,NORTHSIDE H S,C
30161492,29.78511806,-95.35602741,101912003,NORTHSIDE H S,C
32238429,29.79478987,-95.36642974,101912003,NORTHSIDE H S,C
34799457,29.79245937,-95.35093367,101912003,NORTHSIDE H S,C
35959848,29.78179296,-95.36647571,101912003,NORTHSIDE H S,C
36729450,29.80178094,-95.36396218,101912003,NORTHSIDE H S,C
36858756,29.78713582,-95.34204921,101912003,NORTHSIDE H S,C
37033654,29.77675457,-95.36384043,101912003,NORTHSIDE H S,C
38846234,29.79567888,-95.36638051,101912003,NORTHSIDE H S,C
39909212,29.78333246,-95.36301153,101912003,NORTHSIDE H S,C
39969640,29.79242892,-95.35387002,101912003,NORTHSIDE H S,C
41718666,29.8057723,-95.36073644,101912003,NORTHSIDE H S,C
43177596,29.77682978,-95.36426756,101912003,NORTHSIDE H S,C
45359336,29.7786311,-95.34731612,101912003,NORTHSIDE H S,C
46395956,29.81170135,-95.37012233,101912003,NORTHSIDE H S,C
46892581,29.78440094,-95.35291192,101912003,NORTHSIDE H S,C
48708210,29.81312484,-95.35831534,101912003,NORTHSIDE H S,C
50553331,29.80854635,-95.35726761,101912003,NORTHSIDE H S,C
51651440,29.81242082,-95.37049049,101912003,NORTHSIDE H S,C
51690717,29.78503108,-95.35590979,101912003,NORTHSIDE H S,C
52311644,29.80729689,-95.35858166,101912003,NORTHSIDE H S,C
52346664,29.79403794,-95.3663589,101912003,NORTHSIDE H S,C
52396752,29.79840871,-95.36483897,101912003,NORTHSIDE H S,C
52685206,29.77764661,-95.34469035,101912003,NORTHSIDE H S,C
52705703,29.81490822,-95.35648635,101912003,NORTHSIDE H S,C
52938587,29.77860371,-95.35044788,101912003,NORTHSIDE H S,C
55687140,29.811859,-95.34529,101912003,NORTHSIDE H S,C
59582713,29.81238722,-95.36844198,101912003,NORTHSIDE H S,C
60327582,29.77692376,-95.34411352,101912003,NORTHSIDE H S,C
60497526,29.80266745,-95.36984401,101912003,NORTHSIDE H S,C
61141443,29.8010438,-95.3522751,101912003,NORTHSIDE H S,C
63635069,29.79242855,-95.35389961,101912003,NORTHSIDE H S,C
65668037,29.80710483,-95.3607987,101912003,NORTHSIDE H S,C
66117514,29.8016606,-95.37044536,101912003,NORTHSIDE H S,C
67029237,29.81170127,-95.37015236,101912003,NORTHSIDE H S,C
67596953,29.78351978,-95.353972,101912003,NORTHSIDE H S,C
68730199,29.81622795,-95.36823393,101912003,NORTHSIDE H S,C
68823754,29.811278,-95.351763,101912003,NORTHSIDE H S,C
68935931,29.78659983,-95.359722,101912003,NORTHSIDE H S,C
73792596,29.77675445,-95.35143098,101912003,NORTHSIDE H S,C
74767604,29.80695788,-95.35556031,101912003,NORTHSIDE H S,C
74967144,29.78074986,-95.34983545,101912003,NORTHSIDE H S,C
75678877,29.81031037,-95.35441882,101912003,NORTHSIDE H S,C
76631419,29.81015612,-95.3697788,101912003,NORTHSIDE H S,C
77161954,29.77972499,-95.3559235,101912003,NORTHSIDE H S,C
78921037,29.77533151,-95.35557151,101912003,NORTHSIDE H S,C
80977866,29.79996782,-95.36809978,101912003,NORTHSIDE H S,C
81476568,29.80855997,-95.36365131,101912003,NORTHSIDE H S,C
82850725,29.78659725,-95.3597955,101912003,NORTHSIDE H S,C
83279383,29.77510031,-95.3582012,101912003,NORTHSIDE H S,C
85120296,29.81662957,-95.35665643,101912003,NORTHSIDE H S,C
85449481,29.792315,-95.370704,101912003,NORTHSIDE H S,C
85729047,29.77495318,-95.35612355,101912003,NORTHSIDE H S,C
88485006,29.7768017,-95.35225115,101912003,NORTHSIDE H S,C
88604656,29.81718804,-95.35653884,101912003,NORTHSIDE H S,C
88682247,29.79791555,-95.35708918,101912003,NORTHSIDE H S,C
89842659,29.81727078,-95.37355371,101912003,NORTHSIDE H S,C
89846253,29.78836767,-95.35117084,101912003,NORTHSIDE H S,C
92137503,29.78835531,-95.35117065,101912003,NORTHSIDE H S,C
95143543,29.80445537,-95.35255967,101912003,NORTHSIDE H S,C
97351364,29.77681767,-95.35225137,101912003,NORTHSIDE H S,C
97568740,29.7967217,-95.3585498,101912003,NORTHSIDE H S,C
98016450,29.77443337,-95.35796443,101912003,NORTHSIDE H S,C
98915588,29.78255086,-95.36367743,101912003,NORTHSIDE H S,C
34073074,29.81150526,-95.3694476,101912003,NORTHSIDE H S,C
65199858,29.78500545,-95.35956655,101912003,NORTHSIDE H S,C
75788493,29.78485033,-95.35881382,101912003,NORTHSIDE H S,C
