mls,campus_number
242718,101912116
242718,101912009
468622,101912174
468622,101912016
531033,101912036
531033,101912276
535780,101912116
535780,101912009
754009,101912120
754009,101912012
845387,101912310
845387,101912286
849724,101912148
849724,101912017
875166,101912020
875166,101912195
899952,101912156
899952,101912014
919728,101912008
919728,101912259
956258,101912256
956258,101912008
964027,101912008
964027,101912201
1016386,101912020
1016386,101912195
1029097,101912130
1029097,101912002
1036880,101912120
1036880,101912012
1039842,101912018
1039842,101912124
1041641,101912007
1041641,101912475
2068135,101912274
2068135,101912036
2235093,101912241
2235093,101912015
2373527,101912135
2373527,101912012
2375107,101912477
2375107,101912473
2376944,101912008
2376944,101912255
2418496,101912012
2418496,101912249
2427259,101912036
2427259,101912253
2561808,101912259
2561808,101912008
2569510,101912229
2569510,101912008
2571718,101912259
2571718,101912259
2571718,101912008
2571718,101912008
2587468,101912251
2587468,101912008
2659908,101912020
2659908,101912195
2677308,101912003
2677308,101912182
2678297,101912198
2678297,101912012
2707648,101912003
2707648,101912389
2743430,101912245
2743430,101912024
2823691,101912241
2823691,101912015
2837464,101912203
2837464,101912014
2853980,101912036
2853980,101912273
2866520,101912217
2866520,101912020
2873391,101912015
2873391,101912015
2873391,101912115
2873391,101912115
2914096,101912259
2914096,101912008
2927265,101912204
2927265,101912012
3021508,101912015
3021508,101912198
3027961,101912020
3027961,101912110
3074089,101912241
3074089,101912015
3156606,101912023
3156606,101912227
3165079,101912015
3165079,101912157
3188997,101912008
3188997,101912259
3308084,101912002
3308084,101912189
3329659,101912204
3329659,101912012
3342564,101912012
3342564,101912182
3465776,101912016
3465776,101912188
3498325,101912174
3498325,101912016
3515388,101912255
3515388,101912008
3541490,101912036
3541490,101912273
3554395,101912217
3554395,101912020
3589297,101912023
3589297,101912111
3631477,101912003
3631477,101912289
3643027,101912002
3643027,101912130
3654933,101912221
3654933,101912008
3724611,101912116
3724611,101912009
3742892,101912012
3742892,101912152
3782136,101912017
3782136,101912189
3798854,101912003
3798854,101912182
3834876,101912116
3834876,101912009
3869729,101912002
3869729,101912178
3872865,101912008
3872865,101912221
3886379,101912015
3886379,101912241
4065125,101912012
4065125,101912169
4117192,101912058
4117192,101912008
4139792,101912016
4139792,101912254
4244305,101912015
4244305,101912241
4356653,101912299
4356653,101912023
4385377,101912170
4385377,101912012
4448315,101912154
4448315,101912020
4449267,101912009
4449267,101912116
4453610,101912008
4453610,101912221
4484698,101912017
4484698,101912215
4548910,101912002
4548910,101912189
4663442,101912017
4663442,101912224
4676108,101912204
4676108,101912012
4696265,101912259
4696265,101912008
4760271,101912256
4760271,101912008
4839631,101912036
4839631,101912253
4909411,101912192
4909411,101912001
4944117,101912036
4944117,101912275
5020088,101912003
5020088,101912182
5045112,101912015
5045112,101912204
5199344,101912383
5199344,101912014
5229819,101912196
5229819,101912002
5232947,101912009
5232947,101912116
5271450,101912228
5271450,101912008
5275914,101912008
5275914,101912221
5279785,101912477
5279785,101912479
5286984,101912130
5286984,101912002
5293266,101912008
5293266,101912221
5294443,101912008
5294443,101912221
5326760,101912192
5326760,101912001
5350767,101912204
5350767,101912015
5384724,101912396
5384724,101912036
5449731,101912249
5449731,101912012
5464114,101912016
5464114,101912213
