mls,school,campus_number
242718,BRIARGROVE EL,101912116
535780,BRIARGROVE EL,101912116
3724611,BRIARGROVE EL,101912116
3834876,BRIARGROVE EL,101912116
4449267,BRIARGROVE EL,101912116
5232947,BRIARGROVE EL,101912116
8478987,BRIARGROVE EL,101912116
8478987,BRIARGROVE EL,101912116
9503476,BRIARGROVE EL,101912116
10013743,BRIARGROVE EL,101912116
10848594,BRIARGROVE EL,101912116
10992816,BRIARGROVE EL,101912116
12994846,BRIARGROVE EL,101912116
14753120,BRIARGROVE EL,101912116
14753120,BRIARGROVE EL,101912116
15244885,BRIARGROVE EL,101912116
15899077,BRIARGROVE EL,101912116
17936925,BRIARGROVE EL,101912116
18079006,BRIARGROVE EL,101912116
18828450,BRIARGROVE EL,101912116
19212744,BRIARGROVE EL,101912116
20895706,BRIARGROVE EL,101912116
22686426,BRIARGROVE EL,101912116
22786898,BRIARGROVE EL,101912116
22829072,BRIARGROVE EL,101912116
22986427,BRIARGROVE EL,101912116
23612646,BRIARGROVE EL,101912116
23623971,BRIARGROVE EL,101912116
23990208,BRIARGROVE EL,101912116
24087275,BRIARGROVE EL,101912116
25996363,BRIARGROVE EL,101912116
25996363,BRIARGROVE EL,101912116
26405425,BRIARGROVE EL,101912116
27314558,BRIARGROVE EL,101912116
27436532,BRIARGROVE EL,101912116
28591492,BRIARGROVE EL,101912116
29114226,BRIARGROVE EL,101912116
29168820,BRIARGROVE EL,101912116
29827083,BRIARGROVE EL,101912116
32219004,BRIARGROVE EL,101912116
32830094,BRIARGROVE EL,101912116
33396805,BRIARGROVE EL,101912116
33896601,BRIARGROVE EL,101912116
34017288,BRIARGROVE EL,101912116
34320226,BRIARGROVE EL,101912116
34933911,BRIARGROVE EL,101912116
36165254,BRIARGROVE EL,101912116
36862015,BRIARGROVE EL,101912116
37378060,BRIARGROVE EL,101912116
37441258,BRIARGROVE EL,101912116
37623074,BRIARGROVE EL,101912116
38050643,BRIARGROVE EL,101912116
38351593,BRIARGROVE EL,101912116
38668231,BRIARGROVE EL,101912116
39567934,BRIARGROVE EL,101912116
40151811,BRIARGROVE EL,101912116
40203824,BRIARGROVE EL,101912116
40252222,BRIARGROVE EL,101912116
41699706,BRIARGROVE EL,101912116
43604377,BRIARGROVE EL,101912116
43957367,BRIARGROVE EL,101912116
44607125,BRIARGROVE EL,101912116
44613096,BRIARGROVE EL,101912116
44703631,BRIARGROVE EL,101912116
44978406,BRIARGROVE EL,101912116
45104240,BRIARGROVE EL,101912116
46930958,BRIARGROVE EL,101912116
47154111,BRIARGROVE EL,101912116
48249192,BRIARGROVE EL,101912116
48249192,BRIARGROVE EL,101912116
48465429,BRIARGROVE EL,101912116
49616925,BRIARGROVE EL,101912116
49616925,BRIARGROVE EL,101912116
49764750,BRIARGROVE EL,101912116
50200149,BRIARGROVE EL,101912116
50308928,BRIARGROVE EL,101912116
50754531,BRIARGROVE EL,101912116
50968832,BRIARGROVE EL,101912116
51165001,BRIARGROVE EL,101912116
51414640,BRIARGROVE EL,101912116
52121536,BRIARGROVE EL,101912116
53229853,BRIARGROVE EL,101912116
53229853,BRIARGROVE EL,101912116
54060539,BRIARGROVE EL,101912116
54086224,BRIARGROVE EL,101912116
54430802,BRIARGROVE EL,101912116
54537275,BRIARGROVE EL,101912116
54668520,BRIARGROVE EL,101912116
55072083,BRIARGROVE EL,101912116
55808807,BRIARGROVE EL,101912116
56787775,BRIARGROVE EL,101912116
57370805,BRIARGROVE EL,101912116
57671378,BRIARGROVE EL,101912116
58479431,BRIARGROVE EL,101912116
58974837,BRIARGROVE EL,101912116
59418545,BRIARGROVE EL,101912116
59495541,BRIARGROVE EL,101912116
59696206,BRIARGROVE EL,101912116
60051258,BRIARGROVE EL,101912116
60437112,BRIARGROVE EL,101912116
60492410,BRIARGROVE EL,101912116
60958404,BRIARGROVE EL,101912116
61144353,BRIARGROVE EL,101912116
62495647,BRIARGROVE EL,101912116
62969474,BRIARGROVE EL,101912116
63139875,BRIARGROVE EL,101912116
64016255,BRIARGROVE EL,101912116
64197796,BRIARGROVE EL,101912116
64667540,BRIARGROVE EL,101912116
64997392,BRIARGROVE EL,101912116
66270166,BRIARGROVE EL,101912116
66900666,BRIARGROVE EL,101912116
67295326,BRIARGROVE EL,101912116
67617557,BRIARGROVE EL,101912116
67911457,BRIARGROVE EL,101912116
67911457,BRIARGROVE EL,101912116
68130226,BRIARGROVE EL,101912116
70501803,BRIARGROVE EL,101912116
70536368,BRIARGROVE EL,101912116
70587411,BRIARGROVE EL,101912116
71263953,BRIARGROVE EL,101912116
71746364,BRIARGROVE EL,101912116
72820044,BRIARGROVE EL,101912116
73253841,BRIARGROVE EL,101912116
73657099,BRIARGROVE EL,101912116
74104330,BRIARGROVE EL,101912116
74792567,BRIARGROVE EL,101912116
74962836,BRIARGROVE EL,101912116
76820368,BRIARGROVE EL,101912116
76952242,BRIARGROVE EL,101912116
77436657,BRIARGROVE EL,101912116
77592956,BRIARGROVE EL,101912116
77935188,BRIARGROVE EL,101912116
79344725,BRIARGROVE EL,101912116
79374445,BRIARGROVE EL,101912116
79647584,BRIARGROVE EL,101912116
80994958,BRIARGROVE EL,101912116
81742599,BRIARGROVE EL,101912116
81758073,BRIARGROVE EL,101912116
82424613,BRIARGROVE EL,101912116
82558911,BRIARGROVE EL,101912116
83639619,BRIARGROVE EL,101912116
84588824,BRIARGROVE EL,101912116
85272867,BRIARGROVE EL,101912116
85418105,BRIARGROVE EL,101912116
85542229,BRIARGROVE EL,101912116
85999774,BRIARGROVE EL,101912116
86810708,BRIARGROVE EL,101912116
87544554,BRIARGROVE EL,101912116
87854049,BRIARGROVE EL,101912116
88110699,BRIARGROVE EL,101912116
88314975,BRIARGROVE EL,101912116
88667793,BRIARGROVE EL,101912116
88754561,BRIARGROVE EL,101912116
88933905,BRIARGROVE EL,101912116
90924956,BRIARGROVE EL,101912116
91184041,BRIARGROVE EL,101912116
92297681,BRIARGROVE EL,101912116
92484278,BRIARGROVE EL,101912116
92687204,BRIARGROVE EL,101912116
93085439,BRIARGROVE EL,101912116
93516140,BRIARGROVE EL,101912116
93957956,BRIARGROVE EL,101912116
94178192,BRIARGROVE EL,101912116
94222200,BRIARGROVE EL,101912116
95197275,BRIARGROVE EL,101912116
95698683,BRIARGROVE EL,101912116
95729327,BRIARGROVE EL,101912116
96493235,BRIARGROVE EL,101912116
96493235,BRIARGROVE EL,101912116
97387930,BRIARGROVE EL,101912116
97492260,BRIARGROVE EL,101912116
97900654,BRIARGROVE EL,101912116
98502954,BRIARGROVE EL,101912116
98652314,BRIARGROVE EL,101912116
468622,HIGHLAND HTS EL,101912174
3498325,HIGHLAND HTS EL,101912174
7870166,HIGHLAND HTS EL,101912174
8438080,HIGHLAND HTS EL,101912174
8438080,HIGHLAND HTS EL,101912174
10131915,HIGHLAND HTS EL,101912174
11835422,HIGHLAND HTS EL,101912174
12978269,HIGHLAND HTS EL,101912174
15459024,HIGHLAND HTS EL,101912174
20609299,HIGHLAND HTS EL,101912174
20609299,HIGHLAND HTS EL,101912174
23797675,HIGHLAND HTS EL,101912174
25929121,HIGHLAND HTS EL,101912174
27986762,HIGHLAND HTS EL,101912174
28892832,HIGHLAND HTS EL,101912174
28892832,HIGHLAND HTS EL,101912174
28892832,HIGHLAND HTS EL,101912174
29753226,HIGHLAND HTS EL,101912174
29753226,HIGHLAND HTS EL,101912174
30660702,HIGHLAND HTS EL,101912174
32956377,HIGHLAND HTS EL,101912174
34830405,HIGHLAND HTS EL,101912174
37746697,HIGHLAND HTS EL,101912174
37762379,HIGHLAND HTS EL,101912174
39325433,HIGHLAND HTS EL,101912174
40097444,HIGHLAND HTS EL,101912174
45307275,HIGHLAND HTS EL,101912174
45710231,HIGHLAND HTS EL,101912174
46017485,HIGHLAND HTS EL,101912174
48613451,HIGHLAND HTS EL,101912174
49770860,HIGHLAND HTS EL,101912174
56450073,HIGHLAND HTS EL,101912174
56450073,HIGHLAND HTS EL,101912174
56450073,HIGHLAND HTS EL,101912174
56450073,HIGHLAND HTS EL,101912174
56450073,HIGHLAND HTS EL,101912174
56450073,HIGHLAND HTS EL,101912174
56958575,HIGHLAND HTS EL,101912174
62473493,HIGHLAND HTS EL,101912174
62989815,HIGHLAND HTS EL,101912174
64258469,HIGHLAND HTS EL,101912174
64258469,HIGHLAND HTS EL,101912174
64258469,HIGHLAND HTS EL,101912174
64258469,HIGHLAND HTS EL,101912174
64258469,HIGHLAND HTS EL,101912174
64258469,HIGHLAND HTS EL,101912174
67122861,HIGHLAND HTS EL,101912174
67122861,HIGHLAND HTS EL,101912174
67122861,HIGHLAND HTS EL,101912174
67153161,HIGHLAND HTS EL,101912174
67153161,HIGHLAND HTS EL,101912174
67153161,HIGHLAND HTS EL,101912174
67153161,HIGHLAND HTS EL,101912174
67153161,HIGHLAND HTS EL,101912174
67153161,HIGHLAND HTS EL,101912174
68711278,HIGHLAND HTS EL,101912174
69545338,HIGHLAND HTS EL,101912174
71054944,HIGHLAND HTS EL,101912174
74218334,HIGHLAND HTS EL,101912174
75976273,HIGHLAND HTS EL,101912174
79713891,HIGHLAND HTS EL,101912174
87992377,HIGHLAND HTS EL,101912174
87992377,HIGHLAND HTS EL,101912174
87992377,HIGHLAND HTS EL,101912174
87992377,HIGHLAND HTS EL,101912174
