zip,count_zip,min_price,max_price,avg_price,std_price,avg_age,std_age
77007,228,220000,6490000,722793,603447,2003,26
77008,155,303000,2449900,691796,399653,1987,38
77009,153,199900,1799900,527291,285445,1967,43
77096,140,259900,1299000,451303,167943,1966,15
77018,135,258000,1368150,591788,313873,1995,32
77025,108,170000,2100000,724342,473410,1991,29
77401,104,329500,1999999,1033504,438517,1990,26
77019,104,307000,7995000,1956304,1724776,1999,30
77004,103,115000,1850000,475673,231411,1992,35
77077,97,239000,2195000,493121,297250,1986,16
77006,91,389000,3399000,892541,521874,1986,41
77056,89,335000,8999000,1923933,1531364,1991,24
77057,86,289060,4200000,966511,695963,1998,20
77091,75,148500,945000,313447,103477,2008,24
77035,74,199000,1045000,352085,141291,1961,10
77005,68,440000,10900000,1801735,1439176,1991,31
77021,67,75000,1225000,334744,212481,1982,33
77027,61,519900,5995000,1931347,1242216,1995,27
77003,59,192244,800000,412265,94588,2004,29
77098,52,480000,2749000,1063016,555762,1979,36
