mls,street_number,street_name,unit,city,zip,county,subdivision,home_type,year_built,bedrooms,full_baths,half_baths,total_baths,room_count,fireplaces,stories,pool_private,garages,style,list_price,market_area,area,dom,cdom,list_date,school_district,elementary,high_school
90227486,2403,Austin Street,,Houston,77004,Harris,Austin Skyline,Single-Family,2015,3,3,1,3.1,6,0,3,False,2,Contemporary/Modern,445000,16,Midtown - Houston,150,150,9/9/2020,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR H S
76269817,3123,Austin Street,,Houston,77004,Harris,Montione Vls/Elgin Pt Rep,Single-Family,2014,3,3,1,3.1,6,0,4,False,2,Mediterranean,489000,16,Midtown - Houston,30,30,1/7/2021,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR H S
44013547,3108,Crawford Street,,Houston,77004,Harris,Midtown,Single-Family,0,3,3,1,3.1,6,0,3,False,2,Contemporary/Modern,429000,16,Midtown - Houston,135,135,9/24/2020,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR H S
78420188,3110,Crawford Street,,Houston,77004,Harris,Midtown,Single-Family,0,3,3,1,3.1,6,0,3,False,2,Contemporary/Modern,439000,16,Midtown - Houston,135,135,9/24/2020,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR H S
32279965,1804,Dennis Street,,Houston,77004,Harris,Weekley at Chenvert,Single-Family,2014,3,3,1,3.1,10,0,3,False,2,"Contemporary/Modern, Traditional",404000,16,Midtown - Houston,36,36,1/1/2021,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR H S
12892280,1411,Elgin Street,,Houston,77004,Harris,Montione Vls/Elgin Pt Rep,Single-Family,2014,3,3,1,3.1,6,0,4,False,0,Traditional,429000,16,Midtown - Houston,5,45,2/1/2021,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR H S
47688089,1527,FRANCIS Street,,Houston,77004,Harris,FRANCIS STATION,Single-Family,2000,4,2,0,2.0,8,0,2,False,0,Traditional,320000,16,Midtown - Houston,20,20,11/16/2020,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR H S
14702643,1611,Holman Street,,Houston,77004,Harris,Holman Outlot 38,Single-Family,2013,6,5,1,5.1,12,1,2,False,2,"Mediterranean, Traditional",1075000,16,Midtown - Houston,59,423,12/9/2020,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR H S
23353569,1713,Holman Street,,Houston,77004,Harris,Midtown,Single-Family,2019,3,2,1,2.1,7,1,3,False,2,Contemporary/Modern,609900,16,Midtown - Houston,66,485,12/2/2020,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR H S
95756492,1315,Isabella Street,,Houston,77004,Harris,Midtown Elevated,Single-Family,2019,4,4,1,4.1,5,1,4,False,2,Traditional,629900,16,Midtown - Houston,12,962,1/25/2021,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR H S
52061919,1319,Isabella Street,,Houston,77004,Harris,Midtown Elevated,Single-Family,2019,3,3,1,3.1,5,1,4,False,0,Traditional,534800,16,Midtown - Houston,12,962,1/25/2021,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR H S
13938486,3203,La Branch Street,,Houston,77004,Harris,Colina Homes/Labranch Street,Single-Family,2017,3,3,1,3.1,7,0,3,True,2,Contemporary/Modern,539000,16,Midtown - Houston,95,95,11/3/2020,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR H S
77592370,1503,Stuart Street,,Houston,77004,Harris,Stuart Terrace,Single-Family,2021,3,3,1,3.1,8,2,3,False,0,Contemporary/Modern,996075,16,Midtown - Houston,80,80,11/18/2020,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR H S
